Date,Open,High,Low,Close,Adj Close,Volume
2020-02-12,937.679993,937.679993,937.679993,937.679993,937.679993,0
2020-02-13,938.239990,938.239990,938.239990,938.239990,938.239990,0
2020-02-14,937.450012,937.450012,937.450012,937.450012,937.450012,0
2020-02-17,null,null,null,null,null,null
2020-02-18,927.929993,927.929993,927.929993,927.929993,927.929993,0
2020-02-19,928.760010,928.760010,928.760010,928.760010,928.760010,0
2020-02-20,938.130005,938.130005,938.130005,938.130005,938.130005,0
2020-02-21,933.090027,933.090027,933.090027,933.090027,933.090027,0
2020-02-24,903.340027,903.340027,903.340027,903.340027,903.340027,0
2020-02-25,909.669983,909.669983,909.669983,909.669983,909.669983,0
2020-02-26,895.969971,895.969971,895.969971,895.969971,895.969971,0
2020-02-27,898.440002,898.440002,898.440002,898.440002,898.440002,0
2020-02-28,882.190002,882.190002,882.190002,882.190002,882.190002,0
2020-03-02,884.429993,884.429993,884.429993,884.429993,884.429993,0
2020-03-03,null,null,null,null,null,null
2020-03-04,889.369995,889.369995,889.369995,889.369995,889.369995,0
2020-03-05,893.309998,893.309998,893.309998,893.309998,893.309998,0
2020-03-06,891.440002,891.440002,891.440002,891.440002,891.440002,0
2020-03-09,835.489990,835.489990,835.489990,835.489990,835.489990,0
2020-03-10,837.500000,837.500000,837.500000,837.500000,837.500000,0
2020-03-11,811.349976,811.349976,811.349976,811.349976,811.349976,0
2020-03-12,769.250000,769.250000,769.250000,769.250000,769.250000,0
2020-03-13,761.780029,761.780029,761.780029,761.780029,761.780029,0
2020-03-16,747.859985,747.859985,747.859985,747.859985,747.859985,0
2020-03-17,745.780029,745.780029,745.780029,745.780029,745.780029,0
2020-03-18,747.659973,747.659973,747.659973,747.659973,747.659973,0
2020-03-19,725.940002,725.940002,725.940002,725.940002,725.940002,0
2020-03-20,709.729980,709.729980,709.729980,709.729980,709.729980,0
2020-03-23,666.590027,666.590027,666.590027,666.590027,666.590027,0
2020-03-24,659.210022,659.210022,659.210022,659.210022,659.210022,0
2020-03-25,690.250000,690.250000,690.250000,690.250000,690.250000,0
2020-03-26,694.210022,694.210022,694.210022,694.210022,694.210022,0
2020-03-27,696.059998,696.059998,696.059998,696.059998,696.059998,0
2020-03-30,662.260010,662.260010,662.260010,662.260010,662.260010,0
2020-03-31,662.530029,662.530029,662.530029,662.530029,662.530029,0
2020-04-01,680.229980,680.229980,680.229980,680.229980,680.229980,0
2020-04-02,null,null,null,null,null,null
2020-04-03,null,null,null,null,null,null
2020-04-06,736.750000,736.750000,736.750000,736.750000,736.750000,0
2020-04-07,746.690002,746.690002,746.690002,746.690002,746.690002,0
2020-04-08,748.020020,748.020020,748.020020,748.020020,748.020020,0
2020-04-09,760.330017,760.330017,760.330017,760.330017,760.330017,0
2020-04-10,null,null,null,null,null,null
2020-04-13,765.789978,765.789978,765.789978,765.789978,765.789978,0
2020-04-14,767.409973,767.409973,767.409973,767.409973,767.409973,0
2020-04-15,777.219971,777.219971,777.219971,777.219971,777.219971,0
2020-04-16,780.700012,780.700012,780.700012,780.700012,780.700012,0
2020-04-17,789.599976,789.599976,789.599976,789.599976,789.599976,0
2020-04-20,794.969971,794.969971,794.969971,794.969971,794.969971,0
2020-04-21,766.840027,766.840027,766.840027,766.840027,766.840027,0
2020-04-22,768.919983,768.919983,768.919983,768.919983,768.919983,0
2020-04-23,773.909973,773.909973,773.909973,773.909973,773.909973,0
2020-04-24,776.659973,776.659973,776.659973,776.659973,776.659973,0
2020-04-27,770.770020,770.770020,770.770020,770.770020,770.770020,0
2020-04-28,767.210022,767.210022,767.210022,767.210022,767.210022,0
2020-04-29,769.109985,769.109985,769.109985,769.109985,769.109985,0
2020-04-30,null,null,null,null,null,null
2020-05-01,null,null,null,null,null,null
2020-05-04,762.469971,762.469971,762.469971,762.469971,762.469971,0
2020-05-05,764.159973,764.159973,764.159973,764.159973,764.159973,0
2020-05-06,782.590027,782.590027,782.590027,782.590027,782.590027,0
2020-05-07,796.539978,796.539978,796.539978,796.539978,796.539978,0
2020-05-08,813.729980,813.729980,813.729980,813.729980,813.729980,0
2020-05-11,828.330017,828.330017,828.330017,828.330017,828.330017,0
2020-05-12,835.320007,835.320007,835.320007,835.320007,835.320007,0
2020-05-13,834.210022,834.210022,834.210022,834.210022,834.210022,0
2020-05-14,832.400024,832.400024,832.400024,832.400024,832.400024,0
2020-05-15,827.030029,827.030029,827.030029,827.030029,827.030029,0
2020-05-18,null,null,null,null,null,null
2020-05-19,845.919983,845.919983,845.919983,845.919983,845.919983,0
2020-05-20,null,null,null,null,null,null
2020-05-21,862.729980,862.729980,862.729980,862.729980,862.729980,0
2020-05-22,852.739990,852.739990,852.739990,852.739990,852.739990,0
2020-05-25,null,null,null,null,null,null
2020-05-26,869.130005,869.130005,869.130005,869.130005,869.130005,0
2020-05-27,857.479980,857.479980,857.479980,857.479980,857.479980,0
2020-05-28,861.390015,861.390015,861.390015,861.390015,861.390015,0
2020-05-29,864.469971,864.469971,864.469971,864.469971,864.469971,0
2020-06-01,878.669983,878.669983,878.669983,878.669983,878.669983,0
2020-06-02,874.799988,874.799988,874.799988,874.799988,874.799988,0
2020-06-03,881.169983,881.169983,881.169983,881.169983,881.169983,0
2020-06-04,883.900024,883.900024,883.900024,883.900024,883.900024,0
2020-06-05,886.219971,886.219971,886.219971,886.219971,886.219971,0
2020-06-08,899.919983,899.919983,899.919983,899.919983,899.919983,0
2020-06-09,899.429993,899.429993,899.429993,899.429993,899.429993,0
2020-06-10,900.000000,900.000000,900.000000,900.000000,900.000000,0
2020-06-11,867.369995,867.369995,867.369995,867.369995,867.369995,0
2020-06-12,863.520020,863.520020,863.520020,863.520020,863.520020,0
2020-06-15,832.469971,832.469971,832.469971,832.469971,832.469971,0
2020-06-16,856.130005,856.130005,856.130005,856.130005,856.130005,0
2020-06-17,854.440002,854.440002,854.440002,854.440002,854.440002,0
2020-06-18,855.270020,855.270020,855.270020,855.270020,855.270020,0
2020-06-19,868.559998,868.559998,868.559998,868.559998,868.559998,0
2020-06-22,871.280029,871.280029,871.280029,871.280029,871.280029,0
2020-06-23,868.200012,868.200012,868.200012,868.200012,868.200012,0
2020-06-24,859.710022,859.710022,859.710022,859.710022,859.710022,0
2020-06-25,854.590027,854.590027,854.590027,854.590027,854.590027,0
2020-06-26,851.979980,851.979980,851.979980,851.979980,851.979980,0
2020-06-29,829.359985,829.359985,829.359985,829.359985,829.359985,0
2020-06-30,825.109985,825.109985,825.109985,825.109985,825.109985,0
2020-07-01,843.489990,843.489990,843.489990,843.489990,843.489990,0
2020-07-02,842.380005,842.380005,842.380005,842.380005,842.380005,0
2020-07-03,null,null,null,null,null,null
2020-07-06,861.159973,861.159973,861.159973,861.159973,861.159973,0
2020-07-07,863.419983,863.419983,863.419983,863.419983,863.419983,0
2020-07-08,864.500000,864.500000,864.500000,864.500000,864.500000,0
2020-07-09,876.460022,876.460022,876.460022,876.460022,876.460022,0
2020-07-10,871.210022,871.210022,871.210022,871.210022,871.210022,0
2020-07-13,868.719971,868.719971,868.719971,868.719971,868.719971,0
2020-07-14,868.109985,868.109985,868.109985,868.109985,868.109985,0
2020-07-15,869.909973,869.909973,869.909973,869.909973,869.909973,0
2020-07-16,876.830017,876.830017,876.830017,876.830017,876.830017,0
2020-07-17,872.020020,872.020020,872.020020,872.020020,872.020020,0
2020-07-20,861.400024,861.400024,861.400024,861.400024,861.400024,0
2020-07-21,861.690002,861.690002,861.690002,861.690002,861.690002,0
2020-07-22,855.080017,855.080017,855.080017,855.080017,855.080017,0
2020-07-23,856.750000,856.750000,856.750000,856.750000,856.750000,0
2020-07-24,null,null,null,null,null,null
2020-07-27,785.169983,785.169983,785.169983,785.169983,785.169983,0
2020-07-28,813.359985,813.359985,813.359985,813.359985,813.359985,0
2020-07-29,790.840027,790.840027,790.840027,790.840027,790.840027,0
2020-07-30,801.130005,801.130005,801.130005,801.130005,801.130005,0
2020-07-31,798.390015,798.390015,798.390015,798.390015,798.390015,0
2020-08-03,814.650024,814.650024,814.650024,814.650024,814.650024,0
2020-08-04,827.570007,827.570007,827.570007,827.570007,827.570007,0
2020-08-05,837.799988,837.799988,837.799988,837.799988,837.799988,0
2020-08-06,840.039978,840.039978,840.039978,840.039978,840.039978,0
2020-08-07,841.460022,841.460022,841.460022,841.460022,841.460022,0
2020-08-10,843.200012,843.200012,843.200012,843.200012,843.200012,0
2020-08-11,843.080017,843.080017,843.080017,843.080017,843.080017,0
2020-08-12,846.919983,846.919983,846.919983,846.919983,846.919983,0
2020-08-13,855.049988,855.049988,855.049988,855.049988,855.049988,0
2020-08-14,850.739990,850.739990,850.739990,850.739990,850.739990,0
2020-08-17,850.150024,850.150024,850.150024,850.150024,850.150024,0
2020-08-18,846.429993,846.429993,846.429993,846.429993,846.429993,0
2020-08-19,851.210022,851.210022,851.210022,851.210022,851.210022,0
2020-08-20,848.210022,848.210022,848.210022,848.210022,848.210022,0
2020-08-21,854.780029,854.780029,854.780029,854.780029,854.780029,0
2020-08-24,868.679993,868.679993,868.679993,868.679993,868.679993,0
2020-08-25,874.119995,874.119995,874.119995,874.119995,874.119995,0
2020-08-26,873.469971,873.469971,873.469971,873.469971,873.469971,0
2020-08-27,874.710022,874.710022,874.710022,874.710022,874.710022,0
2020-08-28,878.979980,878.979980,878.979980,878.979980,878.979980,0
